[2026-01-09 12:55:10.888] [INFO    ] [PERFORMANCE] [Thread-140586017235584] DiscoverTargets | 119.756s | SUCCESS
[2026-01-09 12:55:10.889] [INFO    ] [PERFORMANCE] [Thread-140586017235584] DiscoverAndPrioritizeTargets | 136.495s | FAILED
[2026-01-09 12:55:14.977] [INFO    ] [PERFORMANCE] [Thread-140286231380608] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:55:15.046] [INFO    ] [PERFORMANCE] [Thread-140286231380608] SearchByHashtag | 0.069s | FAILED
[2026-01-09 12:55:22.491] [INFO    ] [PERFORMANCE] [Thread-140286231380608] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:55:22.568] [INFO    ] [PERFORMANCE] [Thread-140286231380608] SearchByHashtag | 0.076s | FAILED
[2026-01-09 12:55:30.070] [INFO    ] [PERFORMANCE] [Thread-140286231380608] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:55:30.150] [INFO    ] [PERFORMANCE] [Thread-140286231380608] SearchByHashtag | 0.079s | FAILED
[2026-01-09 12:55:35.379] [INFO    ] [PERFORMANCE] [Thread-139880548246144] DolphinX1_Setup | 0.118s | FAILED
[2026-01-09 12:55:37.559] [INFO    ] [PERFORMANCE] [Thread-140286231380608] DiscoverTargets | 107.480s | SUCCESS
[2026-01-09 12:55:37.559] [INFO    ] [PERFORMANCE] [Thread-140286231380608] DiscoverAndPrioritizeTargets | 128.352s | FAILED
[2026-01-09 12:55:41.363] [INFO    ] [PERFORMANCE] [Thread-139878559666816] DolphinX1_Setup | 0.125s | FAILED
[2026-01-09 12:56:39.070] [INFO    ] [PERFORMANCE] [Thread-139991500890752] DolphinX1_Setup | 0.118s | FAILED
[2026-01-09 12:56:41.965] [INFO    ] [PERFORMANCE] [Thread-139991500890752] CommandCenter_Startup | 0.000s | FAILED
[2026-01-09 12:56:52.653] [INFO    ] [PERFORMANCE] [Thread-140513488908928] DolphinX1_Setup | 0.140s | FAILED
[2026-01-09 12:56:55.534] [INFO    ] [PERFORMANCE] [Thread-140513488908928] JarvisBrain_Startup | 0.000s | SUCCESS
[2026-01-09 12:57:28.337] [INFO    ] [PERFORMANCE] [Thread-140513488908928] InitializeTikTokAPI | 29.798s | FAILED
[2026-01-09 12:57:28.339] [INFO    ] [PERFORMANCE] [Thread-140513488908928] SearchByKeyword | 0.000s | FAILED
